,episode,cumulative reward
0,1,59.04864275455475
1,2,32.52454376220703
2,3,66.30296325683594
3,4,67.7511978149414
4,5,138.24301147460938
5,6,19.75408363342285
6,7,18.404220581054688
7,8,55.02953338623047
8,9,18.674043655395508
9,10,30.916982650756836
10,11,35.12102508544922
11,12,62.270286560058594
12,13,21.48773193359375
13,14,39.894283294677734
14,15,38.541324615478516
15,16,53.38200759887695
16,17,26.156991958618164
17,18,47.89147186279297
18,19,24.846162796020508
19,20,25.975677490234375
20,21,58.444923400878906
21,22,58.146690368652344
22,23,65.06425476074219
23,24,44.77519607543945
24,25,37.81264877319336
25,26,26.527000427246094
26,27,27.9295711517334
27,28,70.63888549804688
28,29,18.660259246826172
29,30,56.618900299072266
30,31,19.069194793701172
31,32,46.53074645996094
32,33,37.74049377441406
33,34,25.412349700927734
34,35,51.188358306884766
35,36,22.581953048706055
36,37,64.22144317626953
37,38,25.19463348388672
38,39,28.247615814208984
39,40,25.2421817779541
40,41,31.983537673950195
41,42,33.732547760009766
42,43,47.4613151550293
43,44,35.37366485595703
44,45,156.27708435058594
45,46,90.30644989013672
46,47,73.0743637084961
47,48,37.7707633972168
48,49,26.313434600830078
49,50,75.12731170654297
50,51,22.69594955444336
51,52,158.44898986816406
52,53,21.133346557617188
53,54,85.97855377197266
54,55,48.14519500732422
55,56,60.22128677368164
56,57,134.97512817382812
57,58,37.28676223754883
58,59,48.58161163330078
59,60,49.179298400878906
60,61,112.11681365966797
61,62,77.88834381103516
62,63,239.56143188476562
63,64,43.614681243896484
64,65,28.225814819335938
65,66,84.9383773803711
66,67,136.08990478515625
67,68,20.61681365966797
68,69,108.2167739868164
69,70,25.983198165893555
70,71,36.11848449707031
71,72,137.30970764160156
72,73,48.51817321777344
73,74,62.25551223754883
74,75,65.02437591552734
75,76,73.69721221923828
76,77,184.90284729003906
77,78,87.40406799316406
78,79,123.43094635009766
79,80,180.7867431640625
80,81,106.27413177490234
81,82,78.07352447509766
82,83,166.1695098876953
83,84,506.078857421875
84,85,129.09454345703125
85,86,107.99211120605469
86,87,56.64168930053711
87,88,49.01064682006836
88,89,24.874608993530273
89,90,93.4853515625
90,91,110.24919128417969
91,92,20.79656982421875
92,93,31.2845516204834
93,94,192.20677185058594
94,95,154.34303283691406
95,96,193.21279907226562
96,97,46.34678649902344
97,98,264.0256042480469
98,99,32.975982666015625
99,100,235.4243621826172
100,101,68.21834564208984
101,102,136.4554443359375
102,103,178.01028442382812
103,104,48.010433197021484
104,105,210.06581115722656
105,106,38.99464797973633
106,107,77.3938217163086
107,108,55.742801666259766
108,109,125.54395294189453
109,110,248.09036254882812
110,111,107.91781616210938
111,112,80.52565002441406
112,113,91.30200958251953
113,114,38.794803619384766
114,115,223.70559692382812
115,116,69.18031311035156
116,117,121.39920806884766
117,118,57.135868072509766
118,119,155.0090789794922
119,120,125.87218475341797
120,121,69.75645446777344
121,122,148.66836547851562
122,123,133.57545471191406
123,124,191.4334716796875
124,125,51.644256591796875
125,126,137.6142120361328
126,127,52.51212692260742
127,128,107.65804290771484
128,129,726.5866088867188
129,130,157.3969268798828
130,131,60.9124870300293
131,132,132.11123657226562
132,133,138.73086547851562
133,134,149.05258178710938
134,135,44.83073425292969
135,136,155.85299682617188
136,137,377.44189453125
137,138,338.1547546386719
138,139,281.8668212890625
139,140,451.1749267578125
140,141,259.1439514160156
141,142,733.4492797851562
142,143,380.07012939453125
143,144,468.8903503417969
144,145,157.17762756347656
145,146,396.5289001464844
146,147,168.0854949951172
147,148,485.38934326171875
